mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
174.493,0.0687931,0,0.0798879,0.029501,0,0.03336,75.4537,3.91856,94.9091,22.9371,32.7581,230.188,230.188
351.626,0.137643,1.19209e-06,0.159852,0.0590289,0,0.0667188,153.605,7.78893,189.808,45.6542,37.2556,434.536,434.535
480.692,0.206868,2.14577e-06,0.239918,0.0885468,0,0.100167,230.659,11.6852,237.713,68.3706,69.6376,618.701,618.7
609.454,0.275569,3.09944e-06,0.319676,0.118087,0,0.133626,307.503,15.602,285.501,91.5932,73.6541,774.702,774.701
738.265,0.344268,4.05312e-06,0.399554,0.147598,0,0.167055,384.427,19.5002,333.28,114.777,77.6948,930.737,930.737
871.456,0.412959,5.24521e-06,0.491162,0.179936,0,0.202743,461.695,23.3812,385.093,137.784,81.7917,1091.03,1091.03
1005.13,0.493276,6.19888e-06,0.582726,0.211922,0,0.238473,539.192,27.255,437.158,161.189,86.1236,1252.45,1252.44
1134.44,0.562726,7.15256e-06,0.662492,0.241421,0,0.272534,616.621,31.1346,484.946,184.086,90.3701,1408.9,1408.9
1264.17,0.631392,7.15256e-06,0.742303,0.270931,0,0.305965,694.333,35.0525,532.837,207.569,94.6313,1566.38,1566.37
1397.21,0.700067,8.10623e-06,0.822495,0.300447,0,0.341649,771.999,38.9625,584.082,231.265,99.1636,1727.64,1727.64
1526.96,0.770289,8.10623e-06,0.902317,0.329952,0,0.375105,849.824,42.872,631.889,254.586,103.486,1885.04,1885.04
1656.69,0.838903,8.10623e-06,0.982107,0.359478,0,0.408525,927.655,46.771,679.679,277.494,107.976,2042.17,2042.16
1787.86,0.907552,9.05991e-06,1.06188,0.389014,0,0.444226,1006.25,50.6712,728.136,300.856,112.633,2201.36,2201.35
1919.48,0.987707,1.00136e-05,1.14173,0.418514,0,0.479961,1084.36,54.5863,777.501,323.82,116.785,2360.08,2360.08
2098.67,1.05633,1.09673e-05,1.22152,0.448001,0,0.513299,1164.7,58.4913,872.238,346.593,150.442,2595.71,2595.71
2278.05,1.12498,1.09673e-05,1.30131,0.477504,0,0.546655,1245.13,62.4024,967.065,369.432,154.454,2801.94,2801.94
2461.86,1.19364,1.19209e-05,1.39287,0.509473,0,0.580003,1325.9,66.2738,1066,392.307,158.632,3012.8,3012.8
2641.68,1.26236,1.19209e-05,1.47291,0.538986,0,0.613877,1406.72,70.1794,1160.9,415.061,162.954,3219.7,3219.7
