mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
5.84148,0.0979159,0.00367713,0.222993,0.0321388,0.0321341,0.52786,1.8689,0.134717,2.95696,30.0003,27.519,63.3609,63.3607
11.5288,0.183845,0.00680113,0.449438,0.0649858,0.064975,1.01849,3.64384,0.269797,5.89846,53.4027,30.6868,96.1439,95.6183
16.0475,0.269759,0.00993824,0.669902,0.0950496,0.0950279,1.19102,5.38498,0.408477,8.02828,77.033,72.4112,173.859,165.492
20.5773,0.355643,0.0130823,0.889683,0.126351,0.126327,1.36492,7.13878,0.545744,10.1562,100.673,75.5677,205.711,196.818
25.1194,0.441672,0.0162222,1.11006,0.15643,0.156404,1.53476,8.90785,0.682386,12.2863,124.015,78.7435,237.283,227.878
29.6648,0.527443,0.0193493,1.32969,0.186425,0.186399,1.7095,10.6782,0.820725,14.4127,147.53,81.903,269.033,259.098
34.284,0.61341,0.0224893,1.5883,0.226176,0.226152,1.89955,12.4564,0.959216,16.5409,170.811,85.0664,300.577,290.161
38.8432,0.69932,0.0256145,1.80873,0.256332,0.256307,2.07821,14.2346,1.09766,18.6684,194.338,88.2436,332.358,321.425
43.402,0.785171,0.0287545,2.0299,0.286492,0.286466,2.25161,16.0178,1.23349,20.7975,217.915,91.4116,364.193,352.728
47.9556,0.871224,0.0318875,2.2506,0.316536,0.316511,2.42638,17.7959,1.37075,22.9242,241.235,94.5765,395.789,383.767
52.5115,0.9571,0.0350184,2.47219,0.346713,0.346687,2.602,19.5737,1.50809,25.0518,264.532,97.741,427.316,414.784
57.0734,1.04291,0.0381525,2.69363,0.37685,0.376822,2.76908,21.3562,1.64728,27.1875,287.976,100.888,459.067,445.937
61.6306,1.12886,0.0412774,2.91407,0.406965,0.406936,2.94082,23.1395,1.78365,29.3167,311.384,104.026,490.731,477.04
66.1916,1.21469,0.0444036,3.13381,0.436964,0.436935,3.11123,24.9228,1.92111,31.451,334.936,107.19,522.567,508.318
71.9367,1.30069,0.0476105,3.35472,0.467201,0.467169,3.60357,26.7631,2.05838,34.389,363.008,154.679,611.764,589.624
77.6912,1.38665,0.0507705,3.5751,0.49729,0.497255,4.0883,28.6105,2.19673,37.3367,386.859,157.861,645.636,622.412
83.4522,1.47266,0.0539246,3.79721,0.527531,0.527494,4.56811,30.4658,2.33234,40.2886,410.269,161.039,678.528,654.76
89.2183,1.55867,0.0570633,4.01978,0.557679,0.557638,5.05173,32.323,2.47065,43.2368,433.726,164.21,711.469,687.155
