mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
2.17238,0.091732,0.00128198,0.484187,0.0409322,0.0409222,0.214976,0.454981,0.045264,0.840254,23.9708,27.8496,53.9937,53.9928
3.99835,0.165548,0.00232482,0.657751,0.0864823,0.086462,0.410455,0.911634,0.087975,1.67841,47.5171,33.1152,85.5279,84.6305
5.40414,0.238568,0.00337481,0.829783,0.120352,0.120322,0.655622,1.35798,0.130963,2.07073,70.9799,85.0559,176.712,161.44
6.80389,0.31159,0.00438786,0.99134,0.154328,0.154281,0.900277,1.80776,0.173718,2.46469,94.4813,93.1345,209.692,194.42
8.20529,0.384576,0.00541997,1.1535,0.18821,0.188154,1.12098,2.25893,0.217599,2.88125,117.885,101.74,243.103,227.83
9.60935,0.457595,0.00644517,1.31434,0.222391,0.222331,1.34489,2.71472,0.261322,3.29382,141.617,109.938,276.437,261.165
11.0365,0.530579,0.00747013,1.49683,0.256447,0.256382,1.58985,3.17067,0.30504,3.68673,165.037,117.426,308.772,293.499
12.4414,0.603506,0.00849223,1.65926,0.290404,0.290333,1.83383,3.62556,0.348603,4.07987,188.763,126.118,342.605,327.323
13.8668,0.676465,0.00951219,1.842,0.324132,0.324056,2.0789,4.08011,0.392053,4.47273,212.366,134.534,376.048,360.766
15.2696,0.749394,0.0105622,2.00425,0.357976,0.357896,2.31992,4.53558,0.435155,4.86687,236.94,141.945,409.83,394.154
16.6725,0.822377,0.0115924,2.16784,0.391722,0.391637,2.5619,4.9898,0.478081,5.26024,260.415,150.732,443.496,427.819
18.1016,0.895279,0.0126274,2.35136,0.425436,0.425348,2.80579,5.44662,0.522893,5.65367,283.828,157.958,476.196,459.887
19.5382,0.968394,0.0136693,2.53997,0.459215,0.459123,3.04987,5.90594,0.566218,6.04799,307.179,160.863,508.468,487.579
20.9846,1.06264,0.0147064,2.71841,0.49295,0.492854,3.29573,6.3644,0.609594,6.44028,330.719,163.74,540.417,515.443
22.8091,1.13556,0.0157695,2.88274,0.526838,0.526739,3.49205,6.8385,0.653345,7.27934,354.167,217.122,637.13,594.098
24.638,1.20841,0.0168085,3.04721,0.560638,0.560536,3.69241,7.31406,0.696702,8.11785,377.698,219.989,669.641,622.324
26.497,1.28148,0.0178585,3.21542,0.597283,0.597178,3.87009,7.80455,0.740422,8.98696,401.209,222.853,702.556,650.558
28.3446,1.35461,0.0188994,3.39746,0.631323,0.631213,4.0659,8.28381,0.783884,9.82677,425.4,225.759,736.467,679.503
