mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
46.2477,0.194824,0.048635,0.132611,0.0529461,0.0532129,0.953544,19.3828,1.12168,24.4093,21.8174,35.6312,103.696,103.696
92.8886,0.379761,0.0969751,0.26482,0.105744,0.106268,1.86766,39.2347,2.23879,48.7971,44.0462,46.4112,183.723,183.346
127.965,0.563885,0.145275,0.397229,0.15879,0.159572,2.57045,58.8122,3.35082,62.1119,66.7326,87.6531,284.756,282.351
163.119,0.748402,0.193496,0.65127,0.211603,0.212641,3.25445,78.2736,4.4686,75.5104,88.4675,97.8063,352.16,349.392
198.371,0.932622,0.241718,0.783983,0.264609,0.265905,4.03182,97.9116,5.58209,88.864,111.072,107.844,420.123,417.287
233.545,1.11725,0.290036,0.917368,0.317838,0.319387,4.90794,117.491,6.69948,102.094,134.602,117.325,489.019,485.472
268.867,1.30114,0.338269,1.04954,0.370761,0.372564,5.70052,137.198,7.82572,115.421,157.005,127.208,556.944,553.079
304.102,1.48491,0.386376,1.1822,0.423695,0.425758,6.43032,156.835,8.94386,128.802,180.155,137.008,625.13,621.265
339.439,1.66891,0.434485,1.31429,0.476911,0.479234,7.21821,176.586,10.0581,142.117,202.544,146.77,692.635,688.753
374.923,1.85339,0.482699,1.44736,0.529977,0.53257,7.9284,196.527,11.1778,155.459,224.85,156.432,760.663,756.205
410.406,2.03828,0.531067,1.66677,0.583078,0.585929,8.68174,216.262,12.2957,168.878,247.333,166.112,828.708,823.851
445.675,2.22318,0.579211,1.82669,0.636333,0.639438,9.36192,235.948,13.4171,182.262,269.655,175.493,896.292,890.823
481.094,2.4074,0.62742,1.95881,0.689226,0.692588,10.1625,255.781,14.5339,195.561,291.66,185.153,963.654,957.907
516.556,2.59178,0.675618,2.09127,0.742262,0.745892,10.8657,275.719,15.6529,208.892,313.859,194.942,1031.1,1025.36
563.885,2.77608,0.72381,2.22307,0.795051,0.798936,11.8555,296.243,16.7758,233.216,336.134,235.498,1141.62,1135.52
611.064,2.96017,0.771906,2.36306,0.847842,0.851986,12.8256,316.61,17.8936,257.563,358.106,244.98,1220.48,1214.15
658.287,3.14403,0.820071,2.52229,0.900611,0.90501,13.6698,336.992,19.0158,282.042,380.517,254.752,1299.88,1293.56
705.784,3.3279,0.868191,2.65434,0.953523,0.958183,14.6163,357.685,20.1282,306.418,402.731,263.869,1379.57,1372.38
