mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
23.9444,0.246533,0.0254328,0.216411,0.0516059,0.0517869,0.0532861,9.87241,0.600429,12.9037,22.5739,38.6572,85.1757,85.1754
47.743,0.445832,0.0505028,0.43163,0.10307,0.103426,0.106522,19.854,1.20252,25.5994,46.0621,55.13,148.936,148.935
66.0757,0.644798,0.0756617,0.646788,0.154503,0.155034,0.159895,29.6453,1.80071,33.0235,68.5592,138.957,273.593,273.592
84.4266,0.84908,0.101399,0.846555,0.205889,0.20661,0.213012,39.4771,2.39232,40.4423,91.7949,157.907,334.13,334.128
102.821,1.0534,0.127115,1.0489,0.257504,0.258398,0.280298,49.3515,2.9742,47.8552,114.974,178.343,396.139,396.138
121.242,1.25754,0.152844,1.2497,0.308892,0.309962,0.338167,59.2364,3.58262,55.2679,138.771,197.154,457.168,457.166
139.577,1.46174,0.178577,1.4725,0.365645,0.366892,0.393986,69.0595,4.17807,62.6448,161.717,216.913,518.208,518.206
157.977,1.66587,0.204338,1.67222,0.417018,0.418437,0.449554,78.9412,4.76473,70.0661,184.464,237.856,580.298,580.296
176.353,1.87001,0.23007,1.8723,0.468375,0.469969,0.502662,88.8639,5.36193,77.4135,207.272,257.659,641.286,641.284
194.755,2.07415,0.25582,2.07222,0.519731,0.521499,0.55578,98.7668,5.95747,84.8083,230.385,276.418,701.563,701.557
213.24,2.27857,0.281635,2.2725,0.571205,0.573146,0.621846,108.737,6.54248,92.2165,253.342,295.738,762.327,762.319
231.748,2.4827,0.30739,2.47251,0.622577,0.62469,0.723844,118.706,7.14665,99.5936,276.305,314.24,822.301,822.293
250.207,2.68676,0.33312,2.67226,0.67395,0.676238,0.77704,128.642,7.75209,107.003,299.235,332.309,881.758,881.75
268.666,2.89079,0.358831,2.8723,0.725524,0.727994,0.830198,138.604,8.35332,114.389,322.332,352.305,943.313,943.302
292.607,3.10119,0.384506,3.07287,0.776904,0.779551,0.883278,148.843,8.95064,126.978,345.409,431.975,1070,1069.99
316.647,3.30498,0.410194,3.31158,0.828275,0.831097,0.936321,159.097,9.54507,139.623,368.096,452.257,1137.01,1137
340.825,3.50915,0.435884,3.51154,0.879699,0.882693,0.989444,169.485,10.147,152.302,391.733,471.376,1203.95,1203.93
364.801,3.73842,0.461573,3.71112,0.93107,0.934244,1.04327,179.821,10.7505,164.805,415.267,491.368,1271.45,1271.44
