mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
91.5027,0.126518,0.0670629,0.12114,0.046031,0.0462849,0.0466442,38.5231,2.17313,50.4661,23.1842,37.2738,151.961,151.961
184.333,0.253899,0.134671,0.242199,0.0920138,0.0925198,0.0930181,78.5612,4.33845,100.752,47.6774,45.0119,277.023,277.022
253.011,0.380128,0.201265,0.364797,0.138146,0.138902,0.139497,117.793,6.51652,127.679,70.9344,85.7503,409.697,409.696
321.632,0.507208,0.268682,0.486671,0.184305,0.185311,0.185916,157.06,8.68178,154.525,94.0561,93.6283,509.317,509.316
390.219,0.633565,0.335392,0.610397,0.230525,0.23178,0.23254,196.373,10.8554,181.283,117.2,101.518,608.938,608.937
458.846,0.759655,0.401937,0.732683,0.276718,0.27822,0.27889,235.725,13.0205,208.052,140.26,109.052,708.159,708.157
527.5,0.885978,0.46865,0.853578,0.322674,0.324426,0.325352,275.178,15.1815,234.753,164.081,116.791,808.373,808.371
596.295,1.0133,0.535829,0.975055,0.368715,0.370717,0.371654,314.794,17.3476,261.424,187.394,124.676,908.366,908.364
665.277,1.13975,0.602576,1.09633,0.41484,0.417095,0.418032,354.551,19.5078,288.15,210.59,132.408,1008.28,1008.28
734.145,1.26707,0.670322,1.2189,0.460961,0.463467,0.464421,394.184,21.6672,314.882,234.192,140.053,1108.39,1108.39
803.294,1.39327,0.736924,1.35545,0.507138,0.509893,0.51066,434,23.8296,341.697,259.218,147.568,1210.08,1210.08
872.549,1.52056,0.804652,1.47711,0.553246,0.55625,0.556848,473.898,25.9918,368.551,282.534,155.181,1310.27,1310.26
942.036,1.64761,0.871762,1.59943,0.599545,0.602801,0.60322,513.959,28.1654,395.461,306.264,163.094,1411.4,1411.39
1011.39,1.77377,0.938399,1.72049,0.64552,0.649026,0.649534,553.959,30.3268,422.312,329.455,170.74,1511.59,1511.58
1105.2,1.90133,1.00623,1.84188,0.691614,0.695371,0.695889,595.053,32.4836,472.537,352.892,211.479,1669.58,1669.58
1199.16,2.02757,1.07284,1.96299,0.73768,0.741691,0.742896,636.227,34.6471,522.814,376.511,219.558,1795.23,1795.23
1293.15,2.15379,1.13944,2.08457,0.784038,0.788302,0.789204,677.493,36.8111,573.029,399.755,227.385,1920.29,1920.29
1387.09,2.2806,1.2064,2.20628,0.830098,0.834614,0.835749,718.688,38.9673,623.277,423.654,235.457,2046.2,2046.2
