mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
10.0178,0.113939,0.00739908,0.463272,0.0297532,0.0297532,0.109938,3.49252,0.254217,5.55409,23.196,27.9821,61.1959,61.1958
19.7264,0.221951,0.0144491,0.737256,0.0593612,0.0593531,0.259424,6.857,0.50692,11.0844,46.5689,39.0159,108.677,105.311
26.9472,0.329874,0.021487,1.01115,0.0881424,0.0881312,0.355798,10.1663,0.760059,14.2357,70.0569,102.298,204.345,199.302
34.1678,0.437878,0.028533,1.28529,0.11691,0.116897,0.461373,13.4868,1.0124,17.367,93.3777,117.601,250.189,245.146
41.4377,0.545758,0.0355752,1.5591,0.145704,0.145687,0.578617,16.8444,1.26297,20.501,116.656,136.76,299.963,294.854
48.8028,0.653855,0.0426092,1.83921,0.17447,0.174452,0.691164,20.298,1.52964,23.6162,139.876,152.003,346.194,340.681
56.1117,0.761697,0.0496433,2.14553,0.203346,0.203325,0.804488,23.6657,1.78066,26.75,163.146,170.587,395.538,389.844
63.4385,0.869516,0.0566971,2.50539,0.232176,0.232151,0.918119,27.0227,2.03458,29.8557,186.515,187.295,443.905,437.248
70.7025,0.978285,0.0637472,2.77926,0.261024,0.260998,1.01458,30.3832,2.28718,32.9987,210.363,202.688,491.557,483.753
78.022,1.08612,0.070785,3.05324,0.289816,0.289788,1.16273,33.763,2.53831,36.1284,233.688,217.795,538.624,529.504
85.2849,1.19404,0.0778322,3.3275,0.318683,0.31865,1.27676,37.131,2.79011,39.2464,257.907,237.172,589.483,580.363
92.585,1.30196,0.0848801,3.65931,0.347518,0.347482,1.3386,40.5031,3.04279,42.3912,281.106,255.751,638.561,629.441
99.8582,1.40985,0.0919173,3.93344,0.376288,0.376246,1.4516,43.8751,3.29374,45.5176,304.543,272.185,686.081,676.586
107.167,1.51779,0.0989711,4.2084,0.405031,0.404977,1.58717,47.2538,3.54507,48.6492,327.679,289.088,734.379,723.933
116.876,1.62588,0.106004,4.48241,0.433865,0.433807,1.61661,50.7389,3.7966,54.1814,350.871,344.757,825.598,812.503
126.627,1.73387,0.113075,4.78606,0.462631,0.46257,1.64602,54.247,4.04726,59.7038,374.027,359.056,876.848,859.71
136.478,1.84175,0.120116,5.09693,0.491418,0.491353,1.71049,57.7641,4.29793,65.2743,397.463,371.254,924.143,905.193
146.234,1.94989,0.127184,5.37136,0.520247,0.520178,1.73997,61.2714,4.55347,70.827,420.921,383.882,970.86,951.036
