mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
1.52716,0.201949,0.00102115,0.529572,0.0353868,0.0353839,0.234275,0.243471,0.0163879,0.266078,18.633,22.2759,79.8825,42.436
2.37016,0.24523,0.00153828,0.678189,0.077646,0.077605,0.423081,0.40445,0.0341818,0.507313,37.3939,28.0414,112.257,67.8054
3.04896,0.287367,0.00205517,0.826391,0.0995481,0.0994959,0.556828,0.560577,0.0505619,0.667586,56.1189,148.305,254.068,207.473
3.73734,0.329306,0.00257325,0.985395,0.121464,0.121285,0.688579,0.71761,0.0667999,0.828063,74.7107,157.584,286.481,236.031
4.42022,0.371303,0.0030961,1.13795,0.143292,0.143111,0.820525,0.875358,0.0830541,0.988586,93.3271,166.401,317.627,264.148
5.10386,0.413469,0.00361705,1.29246,0.165117,0.164933,0.952953,1.03185,0.099421,1.14841,112.145,174.908,349.031,292.157
5.78571,0.455442,0.00414014,1.444,0.186946,0.18676,1.08553,1.18916,0.115616,1.3088,131.129,183.869,381.104,320.784
6.46507,0.497333,0.00465512,1.59514,0.208768,0.208578,1.21766,1.34479,0.13201,1.46913,149.8,192.955,413.181,349.22
7.14794,0.539349,0.00518203,1.74876,0.230701,0.230508,1.34951,1.50136,0.148317,1.62966,168.644,201.39,445.048,377.182
7.82817,0.581213,0.00570393,1.89871,0.252511,0.252319,1.4819,1.65901,0.164679,1.78982,187.477,210.275,476.992,405.579
8.50831,0.623221,0.00622511,2.04756,0.274329,0.274136,1.61295,1.81699,0.180852,1.95207,206.167,218.229,510.291,432.904
9.18987,0.665351,0.00673509,2.19729,0.296179,0.295984,1.7455,1.97597,0.197102,2.1121,224.855,226.653,542.398,460.698
9.88051,0.707333,0.00726128,2.35544,0.318052,0.317854,1.87667,2.13557,0.213428,2.27361,243.325,234.753,573.928,487.959
10.5629,0.749268,0.00778913,2.50523,0.339826,0.339626,2.00948,2.29524,0.229734,2.43366,261.882,242.598,604.776,515.042
11.4085,0.791257,0.00829506,2.65619,0.361659,0.361456,2.21452,2.46084,0.246223,2.67731,280.51,347.614,737.662,639.532
12.2539,0.833196,0.00881004,2.80664,0.383458,0.383252,2.41954,2.6272,0.262743,2.92065,299.096,358.343,769.845,669.692
13.1003,0.87517,0.00930715,2.95774,0.40527,0.405063,2.6214,2.79366,0.278948,3.16758,319.055,368.604,802.916,700.759
13.9479,0.917086,0.00982714,3.10911,0.427046,0.426837,2.82664,2.96096,0.295153,3.41132,337.938,379.784,836.17,731.67
